MpCodigo;DeCodigo;EMO;ECIS;PCL
91540;91;;;
91001;91;;;
91798;91;;;
91263;91;;;
91536;91;;;
91530;91;;;
91407;91;;;
91405;91;;;
91669;91;;;
97666;97;;;
91460;91;;;
91430;91;;;
86757;86;;;
86865;86;;;
86568;86;;;
86573;86;;;
52560;52;;;
86569;86;;;
97511;97;;;
52215;52;;;
52356;52;;;
52224;52;;;
52573;52;;;
86320;86;;;
52210;52;;;
52323;52;;;
52022;52;;;
52585;52;;;
18785;18;;;
52352;52;;;
52317;52;;;
52287;52;;;
86571;86;;;
52506;52;;;
86885;86;;;
52227;52;;;
52720;52;;;
97889;97;;;
52354;52;;;
18205;18;;;
18756;18;;;
52885;52;;;
86760;86;;;
52788;52;;;
52320;52;;;
52207;52;;;
86755;86;;;
52838;52;;;
86219;86;;;
52565;52;;;
52480;52;;;
52036;52;;;
86749;86;;;
18860;18;;;
52001;52;;;
18460;18;;;
18029;18;;;
52683;52;;;
52435;52;;;
52381;52;;;
52110;52;;;
52699;52;;;
86001;86;;;
52612;52;;;
52411;52;;;
52019;52;;;
52258;52;;;
52240;52;;;
52051;52;;;
52260;52;;;
18150;18;;;
52685;52;;;
18479;18;;;
18610;18;;;
19533;19;;;
52694;52;;;
52678;52;;;
52254;52;;;
52083;52;;;
52378;52;;;
52385;52;;;
52687;52;;;
52203;52;;;
94885;94;;;
52786;52;;;
52399;52;;;
52693;52;;;
97161;97;;;
19290;19;;;
18094;18;;;
18410;18;;;
41530;41;;;
97001;97;;;
52079;52;;;
41006;41;;;
19701;19;;;
52418;52;;;
52540;52;;;
52233;52;;;
19450;19;;;
19693;19;;;
19022;19;;;
52256;52;;;
95200;95;;;
41770;41;;;
41551;41;;;
41807;41;;;
41244;41;;;
97777;97;;;
41319;41;;;
19100;19;;;
52427;52;;;
52405;52;;;
41503;41;;;
19785;19;;;
19397;19;;;
41026;41;;;
95015;95;;;
41668;41;;;
18001;18;;;
19075;19;;;
41791;41;;;
52621;52;;;
19392;19;;;
41660;41;;;
41359;41;;;
41378;41;;;
52520;52;;;
18256;18;;;
41298;41;;;
19622;19;;;
18247;18;;;
19532;19;;;
41548;41;;;
41013;41;;;
0;0;;;
19760;19;;;
19585;19;;;
95025;95;;;
94887;94;;;
19807;19;;;
41518;41;;;
41396;41;;;
19050;19;;;
94883;94;;;
41306;41;;;
19001;19;;;
19824;19;;;
18592;18;;;
50350;50;;;
52473;52;;;
41797;41;;;
52490;52;;;
52696;52;;;
52390;52;;;
41349;41;;;
19355;19;;;
41483;41;;;
52250;52;;;
41020;41;;;
19318;19;;;
19130;19;;;
41885;41;;;
41132;41;;;
19743;19;;;
41357;41;;;
19256;19;;;
19548;19;;;
41615;41;;;
94888;94;;;
19137;19;;;
95001;95;;;
19809;19;;;
18753;18;;;
19473;19;;;
41801;41;;;
19364;19;;;
50450;50;;;
41676;41;;;
19517;19;;;
19780;19;;;
50590;50;;;
19821;19;;;
41524;41;;;
19698;19;;;
41799;41;;;
94884;94;;;
50711;50;;;
19142;19;;;
19300;19;;;
19212;19;;;
19110;19;;;
19513;19;;;
19418;19;;;
19845;19;;;
41001;41;;;
19455;19;;;
41078;41;;;
73555;73;;;
19573;19;;;
76364;76;;;
76275;76;;;
41016;41;;;
41872;41;;;
76130;76;;;
50325;50;;;
76563;76;;;
50577;50;;;
50683;50;;;
73024;73;;;
50287;50;;;
76001;76;;;
50330;50;;;
50313;50;;;
73067;73;;;
73483;73;;;
76892;76;;;
76520;76;;;
94343;94;;;
50251;50;;;
50270;50;;;
76248;76;;;
73616;73;;;
50370;50;;;
94886;94;;;
50400;50;;;
50689;50;;;
73563;73;;;
76869;76;;;
76306;76;;;
41206;41;;;
73236;73;;;
76318;76;;;
76377;76;;;
76606;76;;;
76233;76;;;
73217;73;;;
50150;50;;;
50680;50;;;
73873;73;;;
76111;76;;;
73671;73;;;
73585;73;;;
50223;50;;;
25120;25;;;
73168;73;;;
76670;76;;;
94001;94;;;
76890;76;;;
76126;76;;;
50318;50;;;
25506;25;;;
73504;73;;;
73675;73;;;
73226;73;;;
76834;76;;;
50006;50;;;
76616;76;;;
76036;76;;;
25649;25;;;
25524;25;;;
76109;76;;;
73148;73;;;
73268;73;;;
73319;73;;;
73770;73;;;
73352;73;;;
73449;73;;;
73854;73;;;
73622;73;;;
50001;50;;;
25053;25;;;
73275;73;;;
25339;25;;;
76828;76;;;
63302;63;;;
76113;76;;;
73678;73;;;
73624;73;;;
25335;25;;;
25281;25;;;
50226;50;;;
25488;25;;;
25612;25;;;
63548;63;;;
25805;25;;;
25535;25;;;
25594;25;;;
63111;63;;;
76736;76;;;
25001;25;;;
76122;76;;;
25290;25;;;
25845;25;;;
25307;25;;;
63212;63;;;
50573;50;;;
25151;25;;;
50606;50;;;
50245;50;;;
76895;76;;;
50124;50;;;
25483;25;;;
63401;63;;;
25743;25;;;
76100;76;;;
